match_id,player_id,started,minutes_played,goals,assists,shots,shots_on_target,passes_completed,passes_attempted,progressive_passes,key_passes,progressive_carries,tackles,interceptions,blocks,yellow_cards,red_cards,saves,xg,xag,pass_pct,save_pct,psxg
ARG_20240715_Colombia,46,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240710_Canada,15,False,27,0,0,0,0,8,9,0,0,0,0,0,1,0,0,0,0.0,0.0,,,
ARG_20240710_Canada,37,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240710_Canada,41,False,90,1,0,4,1,24,35,0,2,0,0,0,1,0,0,0,0.781,0.0,,,
ARG_20240710_Canada,23,False,63,0,0,1,0,21,28,0,0,0,1,0,2,0,0,0,0.074,0.0,,,
ARG_20240710_Canada,16,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240710_Canada,33,False,90,0,1,0,0,49,61,0,1,0,3,1,1,0,0,0,0.0,0.0,,,
ARG_20240710_Canada,52,False,13,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240710_Canada,27,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240710_Canada,22,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240710_Canada,18,False,90,0,0,0,0,74,80,0,0,0,2,1,2,0,0,0,0.0,0.0,,,
ARG_20240710_Canada,45,False,13,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0.0,0.0,,,
ARG_20240710_Canada,28,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20240710_Canada,14,False,90,0,0,1,0,65,71,0,0,0,0,0,0,0,0,0,0.026,0.0,,,
ARG_20240710_Canada,36,False,77,0,0,0,0,15,17,0,1,0,0,1,0,0,0,0,0.0,0.0,,,
ARG_20240710_Canada,8,False,71,0,0,0,0,35,39,0,0,0,2,1,1,0,0,0,0.0,0.0,,,
ARG_20240710_Canada,34,False,13,0,0,0,0,3,4,0,0,0,0,1,0,0,0,0,0.0,0.0,,,
