match_id,player_name,date,competition,opponent,started,position,minutes_played,goals,assists,shots,shots_on_target,xg,xag,passes_completed,passes_attempted,key_passes,progressive_passes,tackles,interceptions,blocks,yellow_cards,red_cards,saves,goals_against_gk,clean_sheet
ARG_20221126_Mexico,Guido Rodríguez,2022-11-26,FIFA World Cup,Mexico,True,Left Defensive Midfield,56,0,0,0,0,0.0,0.0,54,62,0,0,2,0,1,0,0,,,
ARG_20221126_Mexico,Lisandro Martínez,2022-11-26,FIFA World Cup,Mexico,True,Left Center Back,90,0,0,0,0,0.0,0.0,48,56,0,0,3,1,1,0,0,,,
ARG_20221126_Mexico,Alexis Mac Allister,2022-11-26,FIFA World Cup,Mexico,True,Left Midfield,68,0,0,0,0,0.0,0.0,34,38,0,0,2,1,1,0,0,,,
ARG_20221126_Mexico,Gonzalo Montiel,2022-11-26,FIFA World Cup,Mexico,True,Right Back,62,0,0,0,0,0.0,0.0,49,53,0,0,0,0,2,1,0,,,
ARG_20221126_Mexico,Exequiel Palacios,2022-11-26,FIFA World Cup,Mexico,False,,22,0,0,0,0,0.0,0.0,6,6,0,0,1,0,1,0,0,,,
ARG_20221126_Mexico,Thiago Almada,2022-11-26,FIFA World Cup,Mexico,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20221126_Mexico,Nahuel Molina,2022-11-26,FIFA World Cup,Mexico,False,,28,0,0,1,0,0.051,0.0,10,13,0,0,1,0,0,0,0,,,
ARG_20221126_Mexico,Julián Álvarez,2022-11-26,FIFA World Cup,Mexico,False,,28,0,0,0,0,0.0,0.0,6,8,0,0,0,0,1,0,0,,,
ARG_20221126_Mexico,Enzo Fernández,2022-11-26,FIFA World Cup,Mexico,False,,34,1,0,1,1,0.035,0.0,23,28,0,0,1,0,1,0,0,,,
ARG_20221213_Croatia,Nicolás Otamendi,2022-12-13,FIFA World Cup,Croatia,True,Left Center Back,90,0,0,0,0,0.0,0.0,39,41,0,0,3,2,3,1,0,,,
ARG_20221213_Croatia,Lionel Messi,2022-12-13,FIFA World Cup,Croatia,True,Right Center Forward,90,1,1,2,2,0.889,0.0,34,41,1,0,0,0,0,0,0,,,
ARG_20221213_Croatia,Nicolás Tagliafico,2022-12-13,FIFA World Cup,Croatia,True,Left Back,90,0,0,0,0,0.0,0.0,24,30,0,0,1,0,6,0,0,,,
ARG_20221213_Croatia,Germán Pezzella,2022-12-13,FIFA World Cup,Croatia,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20221213_Croatia,Rodrigo De Paul,2022-12-13,FIFA World Cup,Croatia,True,Right Midfield,73,0,0,1,0,0.028,0.0,34,42,1,0,1,0,0,0,0,,,
ARG_20221213_Croatia,Lautaro Martínez,2022-12-13,FIFA World Cup,Croatia,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20221213_Croatia,Leandro Paredes,2022-12-13,FIFA World Cup,Croatia,True,Right Defensive Midfield,61,0,0,1,1,0.014,0.0,36,39,0,0,4,1,4,0,0,,,
ARG_20221213_Croatia,Cristian Romero,2022-12-13,FIFA World Cup,Croatia,True,Right Center Back,90,0,0,0,0,0.0,0.0,29,34,0,0,1,1,2,1,0,,,
ARG_20221213_Croatia,Guido Rodríguez,2022-12-13,FIFA World Cup,Croatia,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20221213_Croatia,Lisandro Martínez,2022-12-13,FIFA World Cup,Croatia,False,,29,0,0,0,0,0.0,0.0,8,9,0,0,1,0,0,0,0,,,
ARG_20221213_Croatia,Alexis Mac Allister,2022-12-13,FIFA World Cup,Croatia,True,Left Midfield,85,0,0,2,1,0.21,0.0,30,34,2,0,1,1,5,0,0,,,
ARG_20221213_Croatia,Exequiel Palacios,2022-12-13,FIFA World Cup,Croatia,False,,17,0,0,0,0,0.0,0.0,13,15,0,0,1,1,0,0,0,,,
ARG_20221213_Croatia,Thiago Almada,2022-12-13,FIFA World Cup,Croatia,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20221213_Croatia,Nahuel Molina,2022-12-13,FIFA World Cup,Croatia,True,Right Back,85,0,0,0,0,0.0,0.0,28,40,0,0,3,2,0,0,0,,,
ARG_20221213_Croatia,Julián Álvarez,2022-12-13,FIFA World Cup,Croatia,True,Left Center Forward,73,2,0,2,2,0.695,0.0,14,18,0,0,0,0,2,0,0,,,
ARG_20221213_Croatia,Enzo Fernández,2022-12-13,FIFA World Cup,Croatia,True,Left Defensive Midfield,90,0,0,1,1,0.028,0.0,41,47,1,0,4,0,1,0,0,,,
ARG_20221122_Saudi_Arab,Nicolás Otamendi,2022-11-22,FIFA World Cup,Saudi Arabia,True,Left Center Back,90,0,0,1,0,0.048,0.0,84,89,1,0,1,2,1,0,0,,,
ARG_20221122_Saudi_Arab,Lionel Messi,2022-11-22,FIFA World Cup,Saudi Arabia,True,Right Center Forward,90,1,0,4,3,1.071,0.0,33,46,3,0,0,0,1,0,0,,,
ARG_20221122_Saudi_Arab,Nicolás Tagliafico,2022-11-22,FIFA World Cup,Saudi Arabia,True,Left Back,70,0,0,1,1,0.636,0.0,27,34,0,0,2,2,5,0,0,,,
ARG_20221122_Saudi_Arab,Germán Pezzella,2022-11-22,FIFA World Cup,Saudi Arabia,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20221122_Saudi_Arab,Rodrigo De Paul,2022-11-22,FIFA World Cup,Saudi Arabia,True,Right Defensive Midfield,90,0,0,1,0,0.051,0.0,66,86,0,0,1,1,4,0,0,,,
ARG_20221122_Saudi_Arab,Lautaro Martínez,2022-11-22,FIFA World Cup,Saudi Arabia,True,Left Center Forward,90,0,0,2,0,0.165,0.0,13,16,0,0,0,0,1,0,0,,,
ARG_20221122_Saudi_Arab,Leandro Paredes,2022-11-22,FIFA World Cup,Saudi Arabia,True,Left Defensive Midfield,58,0,0,0,0,0.0,0.0,55,57,1,0,3,2,1,0,0,,,
ARG_20221122_Saudi_Arab,Marcos Acuña,2022-11-22,FIFA World Cup,Saudi Arabia,False,,20,0,0,0,0,0.0,0.0,18,23,2,0,0,1,2,0,0,,,
ARG_20221122_Saudi_Arab,Cristian Romero,2022-11-22,FIFA World Cup,Saudi Arabia,True,Right Center Back,58,0,0,0,0,0.0,0.0,55,61,0,0,0,1,1,0,0,,,
ARG_20221122_Saudi_Arab,Guido Rodríguez,2022-11-22,FIFA World Cup,Saudi Arabia,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20221122_Saudi_Arab,Lisandro Martínez,2022-11-22,FIFA World Cup,Saudi Arabia,False,,32,0,0,1,0,0.332,0.0,29,32,0,0,1,0,0,0,0,,,
ARG_20221122_Saudi_Arab,Alexis Mac Allister,2022-11-22,FIFA World Cup,Saudi Arabia,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20221122_Saudi_Arab,Gonzalo Montiel,2022-11-22,FIFA World Cup,Saudi Arabia,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20221122_Saudi_Arab,Exequiel Palacios,2022-11-22,FIFA World Cup,Saudi Arabia,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20221122_Saudi_Arab,Thiago Almada,2022-11-22,FIFA World Cup,Saudi Arabia,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20221122_Saudi_Arab,Nahuel Molina,2022-11-22,FIFA World Cup,Saudi Arabia,True,Right Back,90,0,0,0,0,0.0,0.0,57,68,1,0,2,0,1,0,0,,,
ARG_20221122_Saudi_Arab,Julián Álvarez,2022-11-22,FIFA World Cup,Saudi Arabia,False,,32,0,0,1,1,0.061,0.0,0,8,0,0,1,0,1,0,0,,,
ARG_20221122_Saudi_Arab,Enzo Fernández,2022-11-22,FIFA World Cup,Saudi Arabia,False,,32,0,0,1,0,0.037,0.0,33,38,0,0,0,0,0,0,0,,,
ARG_20240626_Chile,Nicolás Otamendi,2024-06-26,Copa América 2024,Chile,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20240626_Chile,Giovani Lo Celso,2024-06-26,Copa América 2024,Chile,False,,27,0,0,1,1,0.487,0.0,15,19,0,0,1,0,0,0,0,,,
ARG_20240626_Chile,Lionel Messi,2024-06-26,Copa América 2024,Chile,True,Right Center Forward,90,0,0,1,0,0.04,0.0,35,39,5,0,1,0,0,0,0,,,
ARG_20240626_Chile,Nicolás Tagliafico,2024-06-26,Copa América 2024,Chile,True,Left Back,82,0,0,0,0,0.0,0.0,47,54,0,0,3,1,1,0,0,,,
ARG_20240626_Chile,Germán Pezzella,2024-06-26,Copa América 2024,Chile,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20240626_Chile,Rodrigo De Paul,2024-06-26,Copa América 2024,Chile,True,Right Midfield,90,0,0,4,0,0.104,0.0,57,68,2,0,2,0,5,0,0,,,
ARG_20240626_Chile,Lautaro Martínez,2024-06-26,Copa América 2024,Chile,False,,18,1,0,3,2,0.823,0.0,3,3,0,0,0,0,1,0,0,,,
ARG_20240626_Chile,Leandro Paredes,2024-06-26,Copa América 2024,Chile,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20240626_Chile,Marcos Acuña,2024-06-26,Copa América 2024,Chile,False,,8,0,0,0,0,0.0,0.0,0,2,0,0,0,0,1,0,0,,,
ARG_20240626_Chile,Cristian Romero,2024-06-26,Copa América 2024,Chile,True,Right Center Back,90,0,0,1,0,0.085,0.0,60,72,0,0,5,2,3,0,0,,,
ARG_20240626_Chile,Nicolás González,2024-06-26,Copa América 2024,Chile,True,Left Midfield,72,0,0,3,2,0.214,0.0,37,41,4,0,2,2,2,0,0,,,
ARG_20240626_Chile,Guido Rodríguez,2024-06-26,Copa América 2024,Chile,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20240626_Chile,Lisandro Martínez,2024-06-26,Copa América 2024,Chile,True,Left Center Back,90,0,0,1,0,0.05,0.0,78,86,2,0,1,2,1,0,0,,,
ARG_20240626_Chile,Alexis Mac Allister,2024-06-26,Copa América 2024,Chile,True,Right Defensive Midfield,90,0,0,4,1,0.486,0.0,55,59,0,0,3,2,2,0,0,,,
ARG_20240626_Chile,Gonzalo Montiel,2024-06-26,Copa América 2024,Chile,False,,8,0,0,0,0,0.0,0.0,2,2,0,0,0,0,0,0,0,,,
ARG_20240626_Chile,Exequiel Palacios,2024-06-26,Copa América 2024,Chile,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20240626_Chile,Lucas Martínez Quarta,2024-06-26,Copa América 2024,Chile,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20240626_Chile,Nahuel Molina,2024-06-26,Copa América 2024,Chile,True,Right Back,82,0,0,1,1,0.147,0.0,41,50,0,0,1,2,3,0,0,,,
ARG_20240626_Chile,Julián Álvarez,2024-06-26,Copa América 2024,Chile,True,Left Center Forward,72,0,0,2,1,0.327,0.0,17,17,0,0,2,1,1,0,0,,,
ARG_20240626_Chile,Enzo Fernández,2024-06-26,Copa América 2024,Chile,True,Left Defensive Midfield,63,0,0,1,1,0.022,0.0,41,46,4,0,1,0,0,0,0,,,
ARG_20240626_Chile,Alejandro Garnacho,2024-06-26,Copa América 2024,Chile,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20240630_Peru,Nicolás Otamendi,2024-06-30,Copa América 2024,Peru,True,Left Center Back,90,0,0,0,0,0.0,0.0,79,84,0,0,1,0,1,0,0,,,
