player_name,league,club,season,date,opponent,is_home,result,minutes,goals,shots,xg,xag,assists,key_passes,yellow_cards,red_cards
Giovani Lo Celso,ESP-La Liga,Real Betis,2024-25,2025-01-11,,,,75,0,2,0.4506549835205078,0.0,0,0,1,0
Giovani Lo Celso,ESP-La Liga,Real Betis,2024-25,2025-02-02,,,,23,0,0,0.0,0.0,0,0,0,0
Giovani Lo Celso,ESP-La Liga,Real Betis,2024-25,2025-02-08,,,,16,0,1,0.07595742493867874,0.0,0,0,0,0
Giovani Lo Celso,ESP-La Liga,Real Betis,2024-25,2025-02-16,,,,49,0,1,0.7432776093482971,0.08120966702699661,0,3,0,0
Giovani Lo Celso,ESP-La Liga,Real Betis,2024-25,2025-03-30,,,,15,0,0,0.0,0.0,0,0,1,0
Giovani Lo Celso,ESP-La Liga,Real Betis,2024-25,2025-04-05,,,,62,0,0,0.0,0.07907475531101227,1,1,0,0
Giovani Lo Celso,ESP-La Liga,Real Betis,2024-25,2025-04-13,,,,25,0,0,0.0,0.5578991770744324,0,4,0,0
Giovani Lo Celso,ESP-La Liga,Real Betis,2024-25,2025-04-21,,,,26,0,0,0.0,0.1888047158718109,0,3,0,0
Giovani Lo Celso,ESP-La Liga,Real Betis,2024-25,2025-04-24,,,,39,0,1,0.09816180914640427,0.22462280094623566,0,2,0,0
Giovani Lo Celso,ESP-La Liga,Real Betis,2024-25,2025-05-04,,,,90,1,3,0.26014479994773865,0.22369222342967987,0,3,0,0
Giovani Lo Celso,ESP-La Liga,Real Betis,2024-25,2025-05-11,,,,47,0,1,0.028431864455342293,0.0,0,0,0,0
Giovani Lo Celso,ESP-La Liga,Real Betis,2024-25,2025-05-15,,,,15,0,0,0.0,0.0,0,0,0,0
Giovani Lo Celso,ESP-La Liga,Real Betis,2024-25,2025-05-18,,,,86,0,2,0.11839520931243896,0.14872802793979645,1,3,0,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2024-09-26,,,,66,0,0,0.0,0.0,0,0,0,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2024-10-20,,,,31,0,0,0.0,0.5696170926094055,1,1,1,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2024-10-27,,,,19,0,0,0.0,0.0,0,0,0,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2024-11-03,,,,87,1,1,0.30678483843803406,0.05077594891190529,0,1,0,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2024-11-10,,,,63,0,0,0.0,0.5262009501457214,1,1,0,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2024-11-23,,,,42,0,1,0.09189695864915848,0.0,0,0,0,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2024-11-30,,,,90,0,1,0.024727066978812218,0.3168855309486389,0,3,1,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2024-12-08,,,,79,0,1,0.09945604205131531,0.020212411880493164,0,1,0,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2024-12-15,,,,58,0,1,0.5945385098457336,0.5342036485671997,0,2,0,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2024-12-21,,,,63,0,0,0.0,0.0,0,0,0,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2025-01-12,,,,75,0,1,0.0604923740029335,0.5799418091773987,0,1,1,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2025-01-18,,,,66,0,0,0.0,0.5855303406715393,0,1,0,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2025-01-25,,,,49,0,0,0.0,0.0,0,0,0,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2025-02-01,,,,62,0,2,0.618964433670044,0.2801799178123474,1,1,0,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2025-02-08,,,,69,0,1,0.33646872639656067,0.03639918565750122,0,1,0,0
Giuliano Simeone,ESP-La Liga,Atlético Madrid,2024-25,2025-02-15,,,,82,0,3,0.19354531168937683,0.0,0,0,0,0
